species id,,,,,,,,,,,,,15,14,1,10,21,4,18,2,2,17,20,12,7,16,6,19,3,5,9,8,11,13
species gername,,,,,,,,,,,,,Bergmolch,Kammmolch,Teichmolch,Grasfrosch,Kleiner Wasserfrosch ,Seefrosch,Teichfrosch,Moorfrosch,Moorfrosch,Knoblauchkröte,Kreuzkröte,Erdkröte,Rotbauchunke,Wechselkröte,Springfrosch,Europäischer Laubfrosch,Gelbbauchunke,Gemeine Geburtshelferkröte,Fadenmolch,Alpen-Kammmolch,Feuersalamander,Alpensalamander
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,
Schwanz,Tail,3,,,2,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24,vorhanden,Present,,,/uploads/Schwanz_1_6c44e99014.svg,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100
,,,,,,,25,fehlend,Absent,,,/uploads/Schwanz_2_8305893fbf.svg,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0
Hautoberfläche,Skin,5,,,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,26,warzig ,Bumpy,,,/uploads/Hautoberflaeche_1_07d1cc6bb6.svg,0,0,0,0,0,100,20,20,20,100,100,100,100,100,0,0,100,100,0,0,0,80
,,,,,,,27,glatt ,Smooth,,,/uploads/Hautoberflaeche_2_4618220a94.svg,100,100,100,100,100,0,80,80,80,0,0,0,0,0,100,100,0,0,100,100,100,20
Farbe Oberseite,Top colour,4,"Wähle alle Farben aus, die du siehst. ",Select all colours you see. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,grün mit Flecken,Green with spots,"#7c7b3a,#b3a777,#abb93f",#443d2c,,0,0,0,30,90,60,90,0,0,0,20,0,0,85,0,0,0,40,0,10,0,0
,,,,,,,18,grün,Green,"#7c7b3a,#b3a777,#abb93f",,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,85,0,0,0,0,0,0
,,,,,,,19,"braun, bräunlich mit Flecken","Brown, brownish with spots","#574339,#7a4e3a,#c3aa76",#443d2c,,0,0,100,40,10,40,10,50,100,100,80,0,80,15,30,0,0,60,100,50,0,0
,,,,,,,20,"braun, bräunlich ","Brown, brownish","#574339,#7a4e3a,#c3aa77",,,0,0,0,30,0,0,0,0,0,0,0,85,20,0,70,15,100,0,0,0,0,0
,,,,,,,21,"schwarz, dunkelblau mit Flecken","Black, dark blue with spots","#161c29,#364c70",#2c2e3a,,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
,,,,,,,23,blau,Blue,"#0e98c7,#99b3bf,#b9d6e7",,,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
