species id,,,,,,,,,,,,100,69,69,81,107,48,72,115,47,70,70,40,40,77,58,85,125,76,64,64,80,80,102,111,111,96,53,106,75,75,24,52,71,90,86,34,59,120,39,67,88,88,33,84,114,54,54,66,66,119,93,116,116,31,31,42,42,83,123,118,60,43,121,94,113,117,117,97,27,98,112,49,110,41,73,68,68,103,103,35,28,28,108,105,122,124,124,128,128,89,89,26,25,57,62,95,95,61,32,22,51,51,23,23,127,127,37,37,104,38,46,44,99,99,30,82,82,55,45,29,74,78,78,50,65,36,92,101,101,1586
species gername,,,,,,,,,,,,Habicht,Sperber,Sperber,Drosselrohrsänger,Sumpfrohrsänger,Teichrohrsänger,Schwanzmeise,Feldlerche,Eisvogel,Krickente,Krickente,Stockente,Stockente,Graugans,Baumpieper,Mauersegler,Graureiher,Waldohreule,Tafelente,Tafelente,Reiherente,Reiherente,Mäusebussard,Bluthänfling,Bluthänfling,Stieglitz,Gartenbaumläufer,Weißstorch,Rohrweihe,Rohrweihe,Kernbeißer,Ringeltaube,Kolkrabe,Nebelkrähe,Saatkrähe,Dohle,Kuckuck,Blaumeise,Höckerschwan,Mehlschwalbe,Buntspecht,Buntspecht,Mittelspecht,Kleinspecht,Schwarzspecht,Goldammer,Goldammer,Rohrammer,Rohrammer,Rotkehlchen,Wanderfalke,Turmfalke,Turmfalke,Trauerschnäpper,Trauerschnäpper,Buchfink,Buchfink,Blässhuhn,Haubenlerche,Teichhuhn,Eichelhäher,Kranich,Gelbspötter,Rauchschwalbe,Wendehals,Neuntöter,Neuntöter,Sturmmöwe,Lachmöwe,Feldschwirl,Haubenmeise,Nachtigall,Schwarzmilan,Rotmilan,Bachstelze,Steinschmätzer,Steinschmätzer,Pirol,Pirol,Kohlmeise,Haussperling,Haussperling,Feldsperling,Tannenmeise,Kormoran,Fasan,Fasan,Hausrotschwanz,Hausrotschwanz,Gartenrotschwanz,Gartenrotschwanz,Zilpzalp,Waldlaubsänger,Fitis,Elster,Grünspecht,Grünspecht,Haubentaucher,Sumpfmeise,Heckenbraunelle,Gimpel,Gimpel,Wintergoldhähnchen,Wintergoldhähnchen,Braunkehlchen,Braunkehlchen,Girlitz,Girlitz,Kleiber,Türkentaube,Waldkauz,Star,Mönchsgrasmücke,Mönchsgrasmücke,Gartengrasmücke,Dorngrasmücke,Dorngrasmücke,Klappergrasmücke,Sperbergrasmücke,Zwergtaucher,Zaunkönig,Amsel,Amsel,Singdrossel,Wacholderdrossel,Stadttaube,Seidenschwanz,Grünfink,Grünfink,Mandarinente
genus,,,,,,,,,,,,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,female,male,male,female,unisex,unisex,unisex,unisex,female,male,unisex,female,male,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,male,female,unisex
gername,engname,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gefiederfarbe,Plumage colour,"Wähle alle Farben aus, die du siehst. ",Select all colours you see. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,weiß,White,#fefefe,,,16,16,16,13,16,13,31,14,8,6,10,13,13,18,14,6,24,8,7,7,0,23,23,16,16,30,23,74,9,9,16,16,0,3,1,1,14,17,54,35,37,37,34,35,0,3,3,10,15,6,19,7,7,33,33,10,8,9,7,14,14,13,2,19,7,12,11,47,54,6,18,5,2,12,33,6,13,10,7,20,5,12,15,23,10,5,7,7,7,10,9,5,15,8,23,10,10,24,18,2,15,15,8,8,18,13,5,5,10,7,18,19,4,4,8,10,15,18,12,9,8,0,0,15,11,2,8,2,2,10
,,,,,,29,grau,Grey,"#8c9698,#c0b4be,#b7becf",,,27,28,28,10,11,8,12,7,1,8,25,15,13,35,7,27,44,10,10,32,7,7,9,18,14,3,12,2,14,14,8,43,5,41,5,42,32,13,15,8,2,2,5,6,1,5,6,10,10,29,25,6,19,17,17,4,16,16,10,15,8,43,18,6,17,15,19,18,19,9,19,14,11,15,29,15,28,10,10,13,10,43,11,30,5,6,6,51,20,19,12,16,13,14,1,15,15,16,28,28,7,19,24,24,3,3,9,9,27,41,13,4,46,46,15,11,27,36,51,12,8,4,0,5,25,43,14,25,29,0
,,,,,,30,hellbraun bis cremefarben,Light brown to cream,"#b18c66,#e8d5c8",,,20,21,21,43,42,42,19,39,4,42,14,26,23,24,35,4,2,33,15,7,6,0,29,26,21,21,35,6,31,31,28,7,0,2,0,0,18,1,23,6,8,8,6,13,1,19,19,40,27,26,17,24,27,34,3,64,3,0,41,5,20,8,24,8,34,26,29,15,2,40,31,38,24,16,3,32,20,10,3,2,50,7,31,13,7,31,19,9,9,18,8,36,12,31,0,10,10,19,30,30,31,0,19,18,53,15,16,16,13,34,34,11,30,26,47,44,33,30,19,26,38,10,0,33,18,4,26,4,12,0
,,,,,,31,"rotbraun, dunkelbraun bis mittelbraun","Reddish brown, dark brown to medium brown","#713520,#634f4d,#907a76",,,25,23,23,29,26,33,9,33,5,33,20,29,25,12,33,25,1,34,48,32,79,5,33,22,17,8,24,0,37,37,20,2,0,1,1,0,24,0,4,12,1,1,1,2,0,17,15,29,29,17,19,40,24,13,13,10,28,1,37,25,18,2,8,6,32,35,23,7,17,32,17,36,53,27,3,23,14,3,3,1,25,25,28,5,19,36,26,14,14,19,20,11,6,12,1,2,2,24,10,31,5,2,2,2,5,43,17,20,4,3,30,13,16,7,24,26,21,13,14,34,39,85,15,40,25,2,10,1,1,0
,,,,,,32,schwarz,Black,#161c29,,,11,6,6,2,3,2,24,5,0,11,11,11,11,10,6,38,28,13,18,20,5,49,6,12,12,24,5,18,7,7,13,12,92,53,87,54,11,15,3,30,33,33,34,35,85,12,12,5,18,1,19,18,18,3,34,9,12,70,3,35,18,28,2,32,7,7,13,12,8,4,12,1,9,16,32,9,18,15,29,33,10,13,15,23,56,15,15,5,28,5,20,2,6,1,57,15,15,11,12,7,29,29,13,12,9,14,9,9,10,12,4,36,2,15,1,3,3,2,3,15,5,0,85,4,15,12,15,9,9,10
