species id,,,,,,,,,,,,,206,241,230,228,248,208,224,250,234,244,205,238,247,212,226,232,218,211,236,240,229,222,251,223,215,227,216,219,213,235,209,249,217,237,242,231,207,243,221,210,233,239,220,245,246
species gername,,,,,,,,,,,,,Spanische Wegschnecke,Hain-Bänderschnecke,Gefleckte Schnirkelschnecke,Gemeine Glattschnecke,Gemeine Haarschnecke,Kugelige Glasschnecke,Gemeine Wegschnecke,Kleine Wegschnecke,Hellbraune Wegschnecke,Mittelmeer-Ackerschnecke,Genetzte Ackerschnecke,Große Laubschnecke,Genabelte Strauchschnecke,Weinbergschnecke,Gewächshausschnegel,Tigerschnegel,Pilzschnegel,Keller-Glanzschnecke,Große Glanzschnecke,Gemeine Bernsteinschnecke,Weiße Heideschnecke,Glänzende Dolchschnecke,Wald-Wegschnecke,Rote Wegschnecke,Gemeine Schließmundschnecke,Baumschnegel,Kartäuserschnecke,Wurmnacktschnecke,Bierschnegel,Schwarzer Schnegel,Garten-Bänderschnecke,Berg-Turmschnecke,Boden-Kielschnegel,Braune Wegschnecke,Gerippte Grasschnecke,Große Kartäuserschnecke,Kantige Laubschnecke,Kleine Glattschnecke,Kleine Turmschnecke,Knoblauch-Glanzschnecke,Märzenschnecke,Riemenschnecke,Rötliche Laubschnecke,Schwarze Wegschnecke,Steinpicker
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehäuse,Shell,31,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,153,ohne,none,,,,100,0,0,0,0,0,100,100,100,100,100,0,0,0,100,100,100,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,100,0
,,,,,,,154,flach,flat,,,/uploads/Gehaeuse_03_d013f3b687.svg,0,0,30,0,100,0,0,0,0,0,0,50,35,0,0,0,0,100,100,0,80,65,0,0,0,0,50,0,0,0,30,0,0,0,70,0,50,0,0,80,0,100,20,0,100
,,,,,,,155,kugelig,spherical,,,/uploads/Gehaeuse_02_789b9906ad.svg,0,100,70,0,0,100,0,0,0,0,0,50,65,100,0,0,0,0,0,0,20,35,0,0,0,0,50,0,0,0,70,0,0,0,30,100,50,0,0,20,0,0,80,0,0
,,,,,,,156,höher als breit,tall and slim,,,/uploads/Gehaeuse_01_756a66747d.svg,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,0
Farbe,Colour,32,"Wähle alle Farben aus, die du siehst.",Select all colours you see. ,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,157,creme - hellbraun,off-white - ligth brown,"#f2edd9,#fcf5cc,#c6a16d",,,10,25,25,10,0,0,10,60,30,20,33,33,33,40,50,40,70,20,0,40,60,5,30,0,5,50,80,60,40,10,50,50,30,70,80,60,100,80,40,60,70,50,70,10,20
