species id,,,,,,,,,,,,,640,642,612,584,631,635,625,615,633,622,624,621,621,616,616,614,619,623,613,613,630,629,611,611,639,639,634,609,618,23355,27586,23037,23168,23286,23095,27606,23380
species gername,,,,,,,,,,,,,Bienenwolf,Deutsche Wespe,Haus-Feldwespe,Gemeine Wespe,Frühlings-Wegwespe,Europäische Hornisse,Rote Wespe,Rotschwarze Spinnenwespe,Ackerhummel,Dunkle Erdhummel,Gemeine Trauerbiene,Gehörnte Mauerbiene,Gehörnte Mauerbiene,Gemeine Pelzbiene,Gemeine Pelzbiene,Gemeine Sandbiene,Große Wollbiene,Gemeine Löcherbiene ,Rostrote Mauerbiene,Rostrote Mauerbiene,Rotpelzige Sandbiene,Gemeine Seidenbiene,Stahlblaue Mauerbiene,Stahlblaue Mauerbiene,Steinhummel,Steinhummel,Westliche Honigbiene,Waldhummel,Wiesenhummel,Blauschwarze Holzbiene,Gemeine Goldwespe,Gartenhummel,Felsenkuckuckshummel,Riesen-Blutbiene,Bunte Blattschneiderbiene,Borstige Dolchwespe,Asiatische Hornisse
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,unisex,unisex,female,male,unisex,unisex,female,male,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farbe,Colour,18,"Wähle alle Farben aus, die du siehst. ",Select all colours you see. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,102,gelb,Yellow,"#fecc23,#fed812,#ede596",,,45,60,50,50,0,40,20,0,0,20,20,0,0,20,25,20,40,10,0,0,5,10,10,10,0,10,20,20,25,0,0,33,0,0,0,10,10
,,,,,,,103,schwarz,Black,#161c29,,,45,40,50,50,60,30,40,70,20,50,30,50,50,40,40,50,45,65,30,30,20,50,70,20,70,70,20,50,50,50,0,33,70,50,80,90,90
,,,,,,,104,orange,Orange,"#b7410e,#e55111",,,0,0,0,0,10,0,0,0,50,20,0,25,20,0,0,0,0,0,0,0,0,0,10,20,15,10,0,20,25,0,20,0,30,0,10,0,0
,,,,,,,105,"rot, rotbraun","Red, reddish brown","#a1230a,#9f3009,#fe5a3e",,,0,0,0,0,30,30,40,30,0,0,0,25,20,10,0,0,0,0,40,40,70,0,0,50,15,10,20,0,0,0,30,0,0,50,10,0,0
,,,,,,,106,"beige, graubraun, braun","Beige, grey-brown, brown","#a4804d,#b9a383,#f5f5dc",,,0,0,0,0,0,0,0,0,20,0,50,0,0,30,30,20,15,0,30,20,5,20,0,0,0,0,50,10,0,0,0,0,0,0,0,0,0
,,,,,,,107,weiß,White,#fefefe,,,10,0,0,0,0,0,0,0,0,10,0,0,10,0,5,10,0,25,0,10,0,20,10,0,0,0,0,0,0,0,0,33,0,0,0,0,0
Behaarung,Hair,19,"Wähle die Beschreibung aus, die am besten passt. Wenn du dir unsicher bist, überspringe einfach dieses Merkmal. ","Choose the description that fits best. If you are unsure, just skip this trait. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,108,"stark, pelzartig behaart","Thick, fur-like haired",,,/uploads/Behaarung_1_92be8059e9.svg,0,0,0,0,0,0,0,0,100,100,0,30,30,70,70,0,0,0,0,0,100,0,0,0,100,100,0,90,90,0,0,100,0,0,0,0,0
,,,,,,,109,spärlich bis deutlich behaart,Sparsely to distinctly hairy,,,/uploads/Behaarung_2_6459fd83d3.svg,0,0,0,0,0,0,0,0,0,0,100,70,70,30,30,100,70,30,100,100,0,100,70,70,0,0,100,10,10,10,0,0,100,0,100,80,0
,,,,,,,110,kaum bis nicht behaart,Scarcely to not hairy,,,/uploads/Behaarung_3_4b3a41f9b8.svg,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,30,70,0,0,0,0,30,30,0,0,0,0,0,90,100,0,0,100,0,20,100
Körperform,Shape,20,"Wähle die Beschreibung aus, die am besten passt. Wenn du dir unsicher bist, überspringe einfach dieses Merkmal.","Select the description that fits best. If you are unsure, just skip this trait.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,111,"schlank, deutlich unterteilt","Slim, distinctly divided",,,/uploads/Koerperform_1_6c41eb4420.svg,100,100,100,100,100,100,100,100,0,0,70,0,0,0,0,80,20,70,30,30,0,30,30,30,0,0,20,0,0,0,100,0,0,100,100,0,100
,,,,,,,112,"eher rundlich, deutlich unterteilt","Rather roundish, distinctly divided",,,/uploads/Koerperform_2_a92286d8a2.svg,0,0,0,0,0,0,0,0,20,0,30,70,70,30,30,20,80,30,70,70,20,70,70,70,20,20,80,20,0,100,0,100,100,0,0,100,0
,,,,,,,113,"kompakt, rundlich, unterteilt","Compact, roundish, divided",,,/uploads/Koerperform_3_5445ef7b03.svg,0,0,0,0,0,0,0,0,80,100,0,30,30,70,70,0,0,0,0,0,80,0,0,0,80,80,0,80,100,0,0,0,0,0,0,0,0
