species id,,,,,,,,,,,,,682,679,679,681,686,683,677,680,685,678
species gername,,,,,,,,,,,,,Waldeidechse,Zauneidechse,Zauneidechse,Schlingnatter,Ringelnatter,Blindschleiche,Kreuzotter,Würfelnatter,Mauereidechse,Europäische Sumpfschildkröte
genus,,,,,,,,,,,,,unisex,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,
Beine,Legs,24,,,2,TRUE,,,,,,,,,,,,,,,,
,,,,,,,125,vorhanden ,Present,,,/uploads/Beine_1_a00c9451f1.svg,100,100,100,0,0,0,0,0,100,100
,,,,,,,126,fehlend,Absent,,,/uploads/Beine_2_512356c97e.svg,0,0,0,100,100,100,100,100,0,0
dominante Farbe,Dominant colour,25,"Wähle die Farbe, die am meisten zu sehen ist. ",Choose the colour that is most prominent. ,1,,,,,,,,,,,,,,,,,
,,,,,,,127,"braun, bräunlich","Brown, brownish","#574339,#7d6c5c,#c3aa77",,,100,100,0,45,0,100,70,34,50,100
,,,,,,,128,grün,Green,#aabc56,,,0,0,100,0,0,0,0,33,10,0
,,,,,,,129,"grau, blaugrau","Grey, blue-grey","#aea492,#8c9698,#99b3bf",,,0,0,0,55,100,0,30,33,40,0
