species id,,,,,,,,,,,,,717,724,690,699,700,729,722,711,710,696,712,689,692,731,703,706,701,719,720,718,705,688,697,695,716,708,728,693,723,704,714,702,687,725,730,694,713,715,698,691,726,733
species gername,,,,,,,,,,,,,Feldahorn,Spitzahorn,Bergahorn,Silberahorn,Gemeine Rosskastanie,Götterbaum,Schwarzerle,Sandbirke,Gemeine Hainbuche,Esskastanie,Amerikanischer Zürgelbaum,Kuchenbaum,Baumhasel,Eingriffeliger Weißdorn,Rotbuche,Gemeine Esche,Gemeine Walnuss,Blasenesche,Tulpenbaum,Kulturapfel,Weiße Maulbeere,Ahornblättrige Platane,Zitterpappel,Vogelkirsche,Kaukasische Flügelnuss,Kulturbirne,Traubeneiche,Stieleiche,Roteiche,Gemeine Robinie,Silberweide,Schwedische Mehlbeere,Sommerlinde,Winterlinde,Flatterulme,Bergulme,Ginkgo,Amberbaum,Japanischer Schnurbaum,Lederhülsenbaum,Vogelbeere,Zweigriffeliger Weißdorn
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blatt,Leaf,26,Teilblätter von einem zusammengesetzten Blatt wirken manchmal wie einzelne Blätter. Schau also genau hin wie die einzelnen Blätter angeordnet sind. ,Partial leaves of a compound leaf sometimes look like single leaves. So look carefully at how the individual leaves are positioned. ,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,130,einzeln,Singular,,,/uploads/Blatt_1_456452a582.svg,100,100,100,100,0,10,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,0,0,100
,,,,,,,131,zusammengesetzt,Compound,,,/uploads/Blatt_2_5ebafdb96e.svg,0,0,0,0,100,90,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,100,100,0
Blattform,Leaf shape,27,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,132,ungefähr so lang wie breit,About as long as wide,,,/uploads/Blattform_1_f5d70e0105.svg,100,100,100,100,100,0,100,100,100,0,0,100,100,100,90,0,0,0,100,90,90,100,100,50,0,100,0,0,50,0,0,0,100,100,100,100,100,100,0,0,0,0
,,,,,,,133,"länglich, schmal ","Elongated, narrow",,,/uploads/Blattform_2_3d5e79af36.svg,0,0,0,0,0,100,0,0,0,100,100,0,0,0,10,100,100,100,0,10,10,0,0,50,100,0,100,100,50,100,100,100,0,0,0,0,0,0,100,100,100,0
,,,,,,,134,gelappt bis tief eingeschnitten,Lobed to deeply cut,,,/uploads/Blattform_3_706bdf3c99.svg,100,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,50,100,0,0,0,0,100,100,100,0,0,50,0,0,0,0,50,100,0,0,0,100
,,,,,,,135,"oval, rund, herzförmig","Oval, round, heart-shaped",,,/uploads/Blattform_4_33eb2a7fbe.svg,0,0,0,0,0,0,100,0,100,100,100,100,100,0,100,100,100,90,0,100,50,0,100,100,100,100,0,0,0,100,100,50,100,100,100,100,0,0,100,0,100,0
,,,,,,,136,"dreieckig, andere Formen","Triangular, other shapes",,,/uploads/Blattform_5_713ec2e8a4.svg,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
Blattrand,Leaf margin,28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,137,"gezähnt, gesägt","Dentate, serrate",,,/uploads/Blattrand_1_c6ff613fd0.svg,0,50,50,50,100,50,0,100,100,100,100,0,80,50,0,100,0,50,10,100,50,50,0,100,100,90,0,0,50,0,100,50,100,100,100,100,0,100,0,0,100,100
